Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
ARI,2177617,26884,28.3,27.4,103,103,0,1,13,$67069833,2:58,Gibson
ATL,2420171,29879,28.5,27.6,102,101,1,4,15,$86208000,2:55,Gonzalez
BAL,2102240,25954,28.0,27.6,102,103,1,3,16,$77949000,3:00,Showalter
BOS,3043003,37568,29.4,28.7,104,103,0,1,17,$110386000,3:09,Valentine
CHC,2882756,35590,27.8,27.9,101,103,0,2,11,$86159366,2:58,Sveum
CHW,1965955,24271,30.0,27.5,104,104,0,4,16,$118208000,2:54,Ventura
CIN,2347251,28978,28.8,27.1,104,104,0,3,14,$80309500,3:00,Baker
CLE,1603596,19797,27.8,27.6,94,95,0,2,12,$78911300,2:58,Acta and Alomar
COL,2630458,32475,28.1,28.2,117,117,0,1,13,$75485000,3:06,Tracy
DET,3028033,37383,27.9,28.2,105,104,0,3,10,$131394000,2:59,Leyland
HOU,1607733,19849,26.6,27.2,100,102,0,1,8,$37651000,3:02,Mills and DeFrancesco
KCR,1739859,21480,26.1,27.3,102,102,0,1,12,$61747075,2:57,Yost
LAA,3061770,37800,28.7,30.1,94,93,0,4,16,$141073500,2:57,Scioscia
LAD,3324246,41040,30.4,29.0,96,96,0,2,15,$177033600,3:05,Mattingly
MIA,2219444,27401,28.3,28.8,102,103,0,1,14,$107678000,2:57,Guillen
MIL,2831385,34955,29.2,29.0,105,104,0,1,16,$95717000,3:08,Roenicke
MIN,2776354,34276,28.9,27.8,98,100,0,1,8,$99066000,2:59,Gardenhire
NYM,2242803,27689,27.9,30.3,95,96,0,2,9,$91621424,2:56,Collins
NYY,3542406,43733,32.9,30.3,104,103,1,4,20,$197977900,3:07,Girardi
OAK,1679013,20729,27.7,27.9,95,95,0,1,13,$61202500,3:02,Melvin
PHI,3565718,44021,31.1,29.1,102,102,2,3,15,$171501558,2:56,Manuel
PIT,2091918,25826,27.6,30.2,95,95,0,2,15,$70077000,3:01,Hurdle
SDP,2123721,26219,27.4,28.0,91,91,0,1,12,$55494700,2:56,Black
SEA,1721920,21258,27.0,27.9,92,93,0,1,12,$78235600,2:56,Wedge
SFG,3377371,41696,27.8,30.0,89,89,0,4,15,$117637350,3:02,Bochy
STL,3262109,40273,29.2,28.6,98,96,0,6,16,$112071000,3:01,Matheny
TBR,1559681,19255,29.7,28.1,95,94,0,2,12,$63368700,3:06,Maddon
TEX,3460280,42720,29.7,28.8,109,107,0,8,17,$124119900,3:00,Washington
TOR,2099663,25922,27.8,27.8,102,103,0,1,10,$82352700,2:58,Farrell
WSH,2370794,29269,27.2,27.0,101,101,0,4,14,$92386000,3:03,Johnson
