Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
ARI,2056697,25391,26.8,27.9,105,105,0,1,8,$61368166,2:58,Hinch and Gibson
ATL,2510119,30989,28.6,30.1,98,97,1,6,18,$84423666,2:56,Cox
BAL,1733019,21395,28.6,28.4,99,100,0,1,14,$81612500,2:53,Trembley Samuel and Showalter
BOS,3046445,37610,30.9,29.6,106,105,0,6,20,$164507333,3:10,Francona
CHC,3062973,37814,29.4,28.2,104,105,0,1,12,$146609002,2:50,Piniella and Quade
CHW,2194378,27091,30.7,29.0,103,103,0,2,16,$107195000,2:47,Guillen
CIN,2060550,25439,29.0,28.2,102,101,0,4,14,$75321542,2:56,Baker
CLE,1391644,17181,27.2,26.6,94,95,0,1,11,$61203966,2:54,Acta
COL,2875245,35497,28.8,28.1,115,115,0,2,10,$90677000,3:00,Tracy
DET,2461237,30386,29.0,26.5,102,101,0,3,11,$124039928,2:54,Leyland
FLA,1524894,18826,26.9,27.1,103,103,0,2,6,$57454719,2:55,Gonzalez and Rodriguez
HOU,2331490,28784,29.5,29.6,97,98,0,1,8,$93216000,2:49,Mills
KCR,1615327,19942,28.9,27.5,99,101,0,1,8,$73105210,2:51,Hillman and Yost
LAA,3250814,40134,29.7,28.3,96,96,0,2,15,$104963866,2:54,Scioscia
LAD,3562320,43979,30.3,28.1,96,96,0,4,18,$95358016,3:01,Torre
MIL,2776531,34278,27.8,29.2,100,100,1,3,16,$81108278,3:03,Macha
MIN,3223640,39798,28.4,28.6,98,98,1,2,14,$97559166,2:51,Gardenhire
NYM,2559738,31602,28.4,29.5,97,97,0,2,10,$134422942,2:57,Manuel
NYY,3765807,46491,30.3,30.3,106,104,1,8,21,$210733389,3:09,Girardi
OAK,1418391,17511,27.8,26.0,99,99,0,2,8,$57904900,2:44,Geren
PHI,3777322,44968,31.8,31.1,102,101,1,3,18,$141928379,2:54,Manuel
PIT,1613399,19919,26.5,28.6,98,100,0,1,9,$37443000,2:52,Russell
SDP,2131774,26318,29.1,27.2,91,91,0,2,10,$37799300,2:56,Black
SEA,2085630,25749,29.6,27.1,93,95,1,1,14,$86510000,2:43,Wakamatsu and Brown
SFG,3037443,37499,29.6,27.9,97,97,0,2,11,$98641333,2:52,Bochy
STL,3301218,40756,28.8,30.2,97,96,0,5,14,$93540751,2:52,La Russa
TBR,1864999,23025,27.5,28.0,95,94,0,4,14,$71923471,3:02,Maddon
TEX,2505171,30928,28.3,27.6,109,108,1,6,16,$56474374,2:57,Washington
TOR,1495482,19173,29.3,28.0,102,101,0,3,8,$62734000,2:48,Gaston
WSH,1828066,22569,29.1,28.0,99,100,1,1,12,$67701000,2:57,Riggleman
