Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
ARI,2073730,25602,27.6,28.0,102,102,0,2,13,$89926500,3:03,37,19,51%,Gibson and Trammell
ATL,2354305,29065,26.8,27.3,98,97,0,3,9,$108081500,3:04,34,23,67%,Gonzalez
BAL,2464473,30426,28.3,27.7,103,103,0,3,16,$109097500,3:07,28,14,50%,Showalter
BOS,2956089,36495,29.2,29.9,104,104,0,2,21,$134628929,3:17,34,19,55%,Farrell
CHC,2652113,32742,26.8,28.0,102,103,0,3,7,$59800500,3:12,57,25,43%,Renteria
CHW,1650821,20381,27.7,27.4,97,98,0,3,7,$87475500,3:08,36,17,47%,Ventura
CIN,2476664,30576,29.0,28.0,100,100,0,5,11,$102230000,3:03,27,12,44%,Price
CLE,1437393,17746,28.6,27.2,103,102,0,1,13,$73509399,3:12,33,17,51%,Francona
COL,2680329,33090,27.4,28.5,116,116,0,2,9,$95403500,3:12,37,14,37%,Weiss
DET,2917209,36015,29.8,28.5,101,101,0,4,16,$169135500,3:14,39,23,58%,Ausmus
HOU,1751829,21628,25.4,27.9,100,101,0,1,6,$44736800,3:10,31,19,61%,Porter and Lawless
KCR,1956482,24154,28.2,28.9,104,103,0,3,15,$89804075,3:02,35,22,62%,Yost
LAA,3095935,38221,29.3,28.4,95,94,0,2,13,$128667000,3:15,36,20,55%,Scioscia
LAD,3782337,46696,29.3,29.9,96,95,0,4,20,$233386026,3:14,38,21,55%,Mattingly
MIA,1732283,21386,27.4,26.4,100,101,0,2,12,$42365400,3:05,27,19,70%,Redmond
MIL,2797384,34536,28.8,29.0,103,103,0,4,14,$109567000,3:07,27,17,62%,Roenicke
MIN,2250606,27785,27.5,29.2,102,102,0,2,8,$87044000,3:07,40,21,52%,Gardenhire
NYM,2148808,26528,28.4,28.9,94,94,0,1,9,$82663615,3:08,31,14,45%,Collins
NYY,3401624,41995,32.8,29.3,100,100,0,3,18,$258118959,3:12,30,24,80%,Girardi
OAK,2003628,24736,29.6,28.2,98,97,0,6,16,$89160900,3:05,26,14,53%,Melvin
PHI,2423852,29924,30.8,30.1,101,102,0,1,12,$176444967,3:09,32,14,43%,Sandberg
PIT,2442564,30155,27.3,28.1,99,98,0,3,14,$80729000,3:09,35,20,57%,Hurdle
SDP,2195373,27103,27.9,28.8,92,92,0,2,6,$76662100,3:01,33,17,51%,Black
SEA,2064334,25486,27.5,29.0,95,95,0,4,10,$95471000,2:59,35,20,57%,McClendon
SFG,3368697,41589,28.6,31.7,95,94,0,3,16,$163510167,3:05,35,22,62%,Bochy
STL,3540649,43712,28.6,27.2,100,99,0,4,15,$129932500,3:03,32,13,40%,Matheny
TBR,1446464,17858,29.3,28.4,97,97,0,1,11,$77814300,3:19,49,21,42%,Maddon
TEX,2718733,33565,28.4,27.9,104,104,0,2,15,$129801239,3:06,43,22,51%,Washington and Bogar
TOR,2375525,29327,29.2,29.6,100,99,0,3,12,$136466200,3:01,47,16,34%,Gibbons
WSH,2579389,31844,28.8,28.3,104,102,0,2,14,$137235080,3:05,32,21,65%,Williams
