,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome
0,40030,New York Mets,1,7,3,4/3/2016,on grass,Night Game,Kansas City Royals,0,9,4,7:38 p.m. Local,Kauffman Stadium,Sunday,74,14, from Right to Left,Sunny,7,3.216666667,regular season,1,0,Win
1,21621,Philadelphia Phillies,0,5,2,4/6/2016,on grass,Night Game,Cincinnati Reds,0,8,3,7:11 p.m. Local,Great American Ball Park,Wednesday,55,24, from Right to Left,Overcast,5,2.383333333,regular season,1,0,Win
2,12622,Minnesota Twins,0,5,2,4/6/2016,on grass,Night Game,Baltimore Orioles,0,9,4,7:07 p.m. Local,Oriole Park at Camden Yards,Wednesday,48,7, out to Leftfield,Unknown,6,3.183333333,regular season,1,0,Win
3,18531,Washington Nationals,0,8,3,4/6/2016,on grass,Night Game,Atlanta Braves,1,8,1,7:10 p.m. Local,Turner Field,Wednesday,65,10, from Right to Left,Cloudy,4,2.883333333,regular season,0,1,Loss
5,28386,Seattle Mariners,1,11,10,4/5/2016,on grass,Night Game,Texas Rangers,1,7,2,7:07 p.m. Local,Globe Life Park in Arlington,Tuesday,81,12, from Right to Left,Cloudy,12,3.5,regular season,0,1,Loss
7,28329,Los Angeles Dodgers,0,6,3,4/5/2016,on grass,Night Game,San Diego Padres,1,2,0,7:11 p.m. Local,Petco Park,Tuesday,70,6, from Left to Right,Unknown,3,2.6,regular season,0,1,Loss
8,26049,St. Louis Cardinals,1,8,5,4/5/2016,on grass,Night Game,Pittsburgh Pirates,2,12,6,7:08 p.m. Local,PNC Park,Tuesday,40,7, out to Leftfield,Sunny,11,3.45,regular season,1,0,Win
9,10478,Chicago White Sox,0,11,5,4/5/2016,on grass,Night Game,Oakland Athletics,0,10,4,7:08 p.m. Local,Oakland-Alameda County Coliseum,Tuesday,70,8, out to Rightfield,Cloudy,9,3.466666667,regular season,0,1,Loss
10,47820,Houston Astros,0,6,5,4/5/2016,on grass,Day Game,New York Yankees,1,4,3,1:11 p.m. Local,Yankee Stadium III,Tuesday,36,18, from Left to Right,Sunny,8,3.283333333,regular season,0,1,Loss
12,36911,Detroit Tigers,1,12,8,4/5/2016,on grass,Night Game,Miami Marlins,2,10,7,7:37 p.m. Local,Marlins Park,Tuesday,77,16, from Left to Right,Sunny,15,3.783333333,regular season,0,1,Loss
13,13468,Texas Rangers,0,14,7,4/11/2016,on grass,Night Game,Seattle Mariners,0,7,3,7:10 p.m. Local,Safeco Field,Monday,57,2, in from Leftfield,Unknown,10,3,regular season,0,1,Loss
14,45229,San Diego Padres,0,6,4,4/11/2016,on grass,Day Game,Philadelphia Phillies,0,8,3,3:09 p.m. Local,Citizens Bank Park,Monday,66,17, out to Leftfield,Unknown,7,2.85,regular season,0,1,Loss
15,13371,Los Angeles Angels of Anaheim,0,9,4,4/11/2016,on grass,Night Game,Oakland Athletics,0,10,1,7:07 p.m. Local,Oakland-Alameda County Coliseum,Monday,63,11, out to Rightfield,Cloudy,5,3.083333333,regular season,0,1,Loss
16,24318,Miami Marlins,1,15,10,4/11/2016,on grass,Night Game,New York Mets,0,7,3,7:11 p.m. Local,Citi Field,Monday,57,15, out to Leftfield,Unknown,13,3.75,regular season,0,1,Loss
17,40638,Chicago White Sox,0,9,4,4/11/2016,on grass,Day Game,Minnesota Twins,1,6,1,3:16 p.m. Local,Target Field,Monday,42,21, in from Leftfield,Cloudy,5,3.083333333,regular season,0,1,Loss
19,26271,Pittsburgh Pirates,1,17,7,4/11/2016,on grass,Day Game,Detroit Tigers,0,6,4,1:10 p.m. Local,Comerica Park,Monday,56,9, in from Rightfield,Overcast,11,3.283333333,regular season,0,1,Loss
20,40882,Cincinnati Reds,1,7,3,4/11/2016,on grass,Night Game,Chicago Cubs,0,3,5,7:06 p.m. Local,Wrigley Field,Monday,48,12, from Left to Right,Cloudy,8,3.05,regular season,1,0,Win
21,21203,Kansas City Royals,0,13,6,4/14/2016,on grass,Night Game,Houston Astros,0,5,2,7:11 p.m. Local,Minute Maid Park,Thursday,75,2, out to Leftfield,Cloudy,8,2.683333333,regular season,0,1,Loss
22,21226,San Francisco Giants,1,9,6,4/14/2016,on grass,Day Game,Colorado Rockies,3,13,11,1:10 p.m. Local,Coors Field,Thursday,72,12, out to Centerfield,Cloudy,17,3.433333333,regular season,1,0,Win
23,34898,Cincinnati Reds,2,6,1,4/14/2016,on grass,Night Game,Chicago Cubs,0,11,8,7:05 p.m. Local,Wrigley Field,Thursday,45,8, out to Centerfield,Sunny,9,3.116666667,regular season,1,0,Win
24,19400,Atlanta Braves,0,5,0,4/13/2016,on grass,Night Game,Washington Nationals,0,4,3,7:05 p.m. Local,Nationals Park,Wednesday,56,0, in unknown direction,Sunny,3,2.2,regular season,1,0,Win
26,16783,Toronto Blue Jays,0,8,4,4/19/2016,on grass,Night Game,Baltimore Orioles,1,7,3,7:09 p.m. Local,Oriole Park at Camden Yards,Tuesday,69,11, in from Centerfield,Sunny,7,2.833333333,regular season,0,1,Loss
27,14160,Los Angeles Dodgers,3,5,1,4/19/2016,on grass,Night Game,Atlanta Braves,0,10,8,7:10 p.m. Local,Turner Field,Tuesday,80,2, out to Centerfield,Unknown,9,2.95,regular season,1,0,Win
28,45432,Chicago Cubs,0,9,5,4/18/2016,on grass,Night Game,St. Louis Cardinals,1,5,0,7:09 p.m. Local,Busch Stadium III,Monday,75,15, from Right to Left,Unknown,5,2.533333333,regular season,0,1,Loss
29,41432,Arizona Diamondbacks,0,16,9,4/18/2016,on grass,Night Game,San Francisco Giants,0,13,7,7:16 p.m. Local,AT&T Park,Monday,67,6, out to Centerfield,Cloudy,16,4.583333333,regular season,0,1,Loss
30,21585,New York Mets,0,10,5,4/18/2016,on grass,Night Game,Philadelphia Phillies,0,7,2,7:07 p.m. Local,Citizens Bank Park,Monday,77,4, out to Centerfield,Sunny,7,2.85,regular season,0,1,Loss
31,21078,Milwaukee Brewers,1,6,4,4/18/2016,on grass,Night Game,Minnesota Twins,1,14,7,7:11 p.m. Local,Target Field,Monday,67,14, in from Leftfield,Unknown,11,2.35,regular season,1,0,Win
33,12777,Colorado Rockies,1,7,5,4/18/2016,on grass,Night Game,Cincinnati Reds,0,4,1,7:10 p.m. Local,Great American Ball Park,Monday,80,10, out to Centerfield,Sunny,6,2.683333333,regular season,0,1,Loss
34,14706,Los Angeles Angels of Anaheim,0,13,7,4/18/2016,on grass,Night Game,Chicago White Sox,1,3,0,7:11 p.m. Local,U.S. Cellular Field,Monday,75,12, in from Leftfield,Unknown,7,2.966666667,regular season,0,1,Loss
35,37168,Toronto Blue Jays,0,8,4,4/18/2016,on grass,Day Game,Boston Red Sox,1,7,3,11:07 a.m. Local,Fenway Park,Monday,66,8, in from Leftfield,Cloudy,7,3.2,regular season,0,1,Loss
37,46268,Cincinnati Reds,1,8,3,4/17/2016,on grass,Day Game,St. Louis Cardinals,2,7,4,1:15 p.m. Local,Busch Stadium III,Sunday,78,11, out to Leftfield,Cloudy,7,2.733333333,regular season,1,0,Win
38,16497,Chicago Cubs,0,18,16,4/21/2016,on grass,Night Game,Cincinnati Reds,1,0,0,7:11 p.m. Local,Great American Ball Park,Thursday,58,13, in unknown direction,Overcast,16,2.933333333,regular season,0,1,Loss
40,31453,New York Yankees,1,10,3,4/25/2016,on grass,Night Game,Texas Rangers,0,3,1,7:10 p.m. Local,Globe Life Park in Arlington,Monday,82,10, from Right to Left,Cloudy,4,2.766666667,regular season,0,1,Loss
42,41266,San Diego Padres,0,11,4,4/25/2016,on grass,Night Game,San Francisco Giants,0,12,5,7:15 p.m. Local,AT&T Park,Monday,59,22, out to Rightfield,Sunny,9,3.783333333,regular season,1,0,Win
43,14832,Houston Astros,0,10,2,4/25/2016,on grass,Night Game,Seattle Mariners,0,4,3,7:11 p.m. Local,Safeco Field,Monday,56,3, in from Rightfield,Cloudy,5,2.666666667,regular season,1,0,Win
44,30250,Cincinnati Reds,0,8,3,4/25/2016,on grass,Night Game,New York Mets,1,10,5,7:10 p.m. Local,Citi Field,Monday,64,8, from Right to Left,Cloudy,8,3.183333333,regular season,1,0,Win
45,17503,Cleveland Indians,0,12,3,4/25/2016,on grass,Night Game,Minnesota Twins,1,5,4,7:11 p.m. Local,Target Field,Monday,50,10, from Left to Right,Overcast,7,3.4,regular season,1,0,Win
46,44954,Miami Marlins,1,8,3,4/25/2016,on grass,Night Game,Los Angeles Dodgers,0,7,2,7:10 p.m. Local,Dodger Stadium,Monday,61,17, from Left to Right,Sunny,5,2.85,regular season,0,1,Loss
47,21671,Oakland Athletics,0,10,3,4/25/2016,on grass,Night Game,Detroit Tigers,2,12,7,7:10 p.m. Local,Comerica Park,Monday,64,12, in from Leftfield,Unknown,10,2.65,regular season,1,0,Win
48,20674,Pittsburgh Pirates,0,9,6,4/25/2016,on grass,Night Game,Colorado Rockies,0,9,1,6:40 p.m. Local,Coors Field,Monday,64,6, out to Rightfield,Unknown,7,2.983333333,regular season,0,1,Loss
49,22735,Boston Red Sox,0,6,1,4/25/2016,on grass,Night Game,Atlanta Braves,2,4,0,7:10 p.m. Local,Turner Field,Monday,75,8, out to Leftfield,Cloudy,1,2.916666667,regular season,0,1,Loss
51,41357,San Diego Padres,1,9,9,4/27/2016,on grass,Day Game,San Francisco Giants,0,16,13,12:45 p.m. Local,AT&T Park,Wednesday,59,16, from Right to Left,Overcast,22,3.35,regular season,1,0,Win
53,42933,Washington Nationals,0,11,6,5/1/2016,on grass,Day Game,St. Louis Cardinals,0,6,1,1:15 p.m. Local,Busch Stadium III,Sunday,68,8, out to Rightfield,Cloudy,7,2.783333333,regular season,0,1,Loss
54,37053,Kansas City Royals,0,11,4,5/1/2016,on grass,Day Game,Seattle Mariners,1,8,1,1:10 p.m. Local,Safeco Field,Sunday,66,8, out to Centerfield,Sunny,5,3.233333333,regular season,0,1,Loss
55,28755,Cincinnati Reds,0,8,6,5/1/2016,on grass,Day Game,Pittsburgh Pirates,4,9,5,1:36 p.m. Local,PNC Park,Sunday,67,8, out to Rightfield,Unknown,11,3.7,regular season,0,1,Loss
56,23809,Cleveland Indians,0,4,1,5/1/2016,on grass,Day Game,Philadelphia Phillies,2,4,2,2:40 p.m. Local,Citizens Bank Park,Sunday,51,1, out to Centerfield,Overcast,3,2.666666667,regular season,1,0,Win
57,24135,Houston Astros,0,2,2,5/1/2016,on grass,Day Game,Oakland Athletics,0,8,1,1:07 p.m. Local,Oakland-Alameda County Coliseum,Sunday,71,5, out to Rightfield,Sunny,3,2.833333333,regular season,0,1,Loss
58,39077,San Francisco Giants,0,8,6,5/1/2016,on grass,Day Game,New York Mets,0,10,1,1:12 p.m. Local,Citi Field,Sunday,50,14, from Right to Left,Drizzle,7,3.316666667,regular season,0,1,Loss
59,24749,Detroit Tigers,0,14,6,5/1/2016,on grass,Day Game,Minnesota Twins,0,11,5,1:11 p.m. Local,Target Field,Sunday,58,10, in from Leftfield,Cloudy,11,3.55,regular season,0,1,Loss
61,49271,San Diego Padres,1,3,0,5/1/2016,on grass,Day Game,Los Angeles Dodgers,0,3,1,1:10 p.m. Local,Dodger Stadium,Sunday,70,6, out to Centerfield,Sunny,1,2.116666667,regular season,1,0,Win
62,40164,Atlanta Braves,1,5,4,5/1/2016,on grass,Day Game,Chicago Cubs,1,6,3,1:21 p.m. Local,Wrigley Field,Sunday,44,14, in from Centerfield,Overcast,7,3.066666667,regular season,0,1,Loss
63,34279,New York Yankees,2,9,7,5/1/2016,on grass,Night Game,Boston Red Sox,0,14,8,8:09 p.m. Local,Fenway Park,Sunday,49,9, from Right to Left,Drizzle,15,3.283333333,regular season,1,0,Win
64,40087,Philadelphia Phillies,0,5,1,5/3/2016,on grass,Night Game,St. Louis Cardinals,0,3,0,7:15 p.m. Local,Busch Stadium III,Tuesday,63,5, out to Rightfield,Cloudy,1,2.516666667,regular season,0,1,Loss
65,42338,Pittsburgh Pirates,0,11,4,5/7/2016,on grass,Day Game,St. Louis Cardinals,1,9,6,1:16 p.m. Local,Busch Stadium III,Saturday,84,14, out to Rightfield,Sunny,10,3.383333333,regular season,1,0,Win
66,41590,Colorado Rockies,0,12,1,5/7/2016,on grass,Day Game,San Francisco Giants,0,7,2,1:05 p.m. Local,AT&T Park,Saturday,60,6, out to Centerfield,Overcast,3,4.333333333,regular season,1,0,Win
67,41028,New York Mets,0,9,6,5/7/2016,on grass,Night Game,San Diego Padres,0,8,3,5:41 p.m. Local,Petco Park,Saturday,60,15, from Left to Right,Sunny,9,2.866666667,regular season,0,1,Loss
68,47822,Boston Red Sox,0,6,2,5/7/2016,on grass,Day Game,New York Yankees,1,11,8,1:08 p.m. Local,Yankee Stadium III,Saturday,53,10, in from Leftfield,Unknown,10,3.15,regular season,1,0,Win
69,21719,Philadelphia Phillies,0,5,4,5/7/2016,on grass,Night Game,Miami Marlins,1,10,3,7:10 p.m. Local,Marlins Park,Saturday,78,5, in from Leftfield,Sunny,7,3.333333333,regular season,0,1,Loss
70,31559,Seattle Mariners,0,11,3,5/7/2016,on grass,Night Game,Houston Astros,1,8,2,6:11 p.m. Local,Minute Maid Park,Saturday,81,11, in from Leftfield,Cloudy,5,3.45,regular season,0,1,Loss
71,35551,Texas Rangers,0,10,10,5/7/2016,on grass,Day Game,Detroit Tigers,0,11,5,1:10 p.m. Local,Comerica Park,Saturday,68,8, from Right to Left,Overcast,15,3.233333333,regular season,0,1,Loss
72,17302,Kansas City Royals,0,12,7,5/7/2016,on grass,Day Game,Cleveland Indians,0,6,0,4:10 p.m. Local,Progressive Field,Saturday,69,5, from Right to Left,Overcast,7,2.683333333,regular season,0,1,Loss
73,27567,Milwaukee Brewers,2,15,13,5/7/2016,on grass,Night Game,Cincinnati Reds,3,11,7,7:10 p.m. Local,Great American Ball Park,Saturday,73,11, out to Leftfield,Overcast,20,3.633333333,regular season,0,1,Loss
74,40471,Washington Nationals,0,6,5,5/7/2016,on grass,Day Game,Chicago Cubs,1,11,8,3:05 p.m. Local,Wrigley Field,Saturday,51,23, in from Leftfield,Sunny,13,3.533333333,regular season,1,0,Win
75,28049,Minnesota Twins,0,4,2,5/7/2016,on grass,Night Game,Chicago White Sox,0,13,7,6:10 p.m. Local,U.S. Cellular Field,Saturday,60,16, from Left to Right,Sunny,9,2.966666667,regular season,1,0,Win
76,29862,Oakland Athletics,1,9,2,5/7/2016,on grass,Night Game,Baltimore Orioles,0,8,5,7:07 p.m. Local,Oriole Park at Camden Yards,Saturday,62,1, from Right to Left,Sunny,7,2.533333333,regular season,1,0,Win
77,15230,Tampa Bay Rays,1,4,2,5/9/2016,on grass,Night Game,Seattle Mariners,0,9,5,7:10 p.m. Local,Safeco Field,Monday,66,3, out to Rightfield,Cloudy,7,3.083333333,regular season,1,0,Win
79,34579,Los Angeles Angels of Anaheim,0,13,7,5/13/2016,on grass,Night Game,Seattle Mariners,0,10,6,7:10 p.m. Local,Safeco Field,Friday,76,2, out to Centerfield,Unknown,13,3.683333333,regular season,0,1,Loss
80,22230,Cincinnati Reds,0,4,2,5/13/2016,on grass,Night Game,Philadelphia Phillies,1,7,3,7:09 p.m. Local,Citizens Bank Park,Friday,68,6, from Left to Right,Unknown,5,2.616666667,regular season,1,0,Win
81,34264,Chicago White Sox,0,9,7,5/13/2016,on grass,Night Game,New York Yankees,0,6,1,7:08 p.m. Local,Yankee Stadium III,Friday,62,1, in unknown direction,Drizzle,8,2.75,regular season,0,1,Loss
83,46716,St. Louis Cardinals,4,9,4,5/13/2016,on grass,Night Game,Los Angeles Dodgers,1,11,8,7:10 p.m. Local,Dodger Stadium,Friday,67,7, out to Rightfield,Cloudy,12,3.016666667,regular season,1,0,Win
84,33132,Atlanta Braves,2,7,1,5/13/2016,on grass,Night Game,Kansas City Royals,1,7,5,7:15 p.m. Local,Kauffman Stadium,Friday,62,21, from Left to Right,Unknown,6,2.75,regular season,1,0,Win
85,38712,New York Mets,0,6,2,5/13/2016,on grass,Night Game,Colorado Rockies,0,12,5,6:42 p.m. Local,Coors Field,Friday,56,8, from Right to Left,Unknown,7,2.8,regular season,1,0,Win
86,17803,Minnesota Twins,1,8,6,5/13/2016,on grass,Night Game,Cleveland Indians,2,8,7,7:10 p.m. Local,Progressive Field,Friday,62,11, from Left to Right,Sunny,13,3.116666667,regular season,1,0,Win
87,37479,Pittsburgh Pirates,0,11,4,5/13/2016,on grass,Day Game,Chicago Cubs,1,11,9,1:20 p.m. Local,Wrigley Field,Friday,65,11, out to Rightfield,Cloudy,13,2.916666667,regular season,1,0,Win
88,33148,Houston Astros,0,13,7,5/13/2016,on grass,Night Game,Boston Red Sox,0,11,6,7:10 p.m. Local,Fenway Park,Friday,65,12, out to Centerfield,Unknown,13,3.816666667,regular season,0,1,Loss
89,30488,Detroit Tigers,0,6,0,5/13/2016,on grass,Night Game,Baltimore Orioles,0,4,1,7:07 p.m. Local,Oriole Park at Camden Yards,Friday,75,4, out to Rightfield,Sunny,1,2.65,regular season,1,0,Win
90,27869,Cincinnati Reds,1,14,9,5/15/2016,on grass,Day Game,Philadelphia Phillies,2,12,4,1:39 p.m. Local,Citizens Bank Park,Sunday,54,23, from Left to Right,Unknown,13,3.866666667,regular season,0,1,Loss
91,27257,Atlanta Braves,0,8,7,5/20/2016,on grass,Night Game,Philadelphia Phillies,2,6,1,7:07 p.m. Local,Citizens Bank Park,Friday,72,4, from Left to Right,Unknown,8,3,regular season,0,1,Loss
92,28235,New York Yankees,1,13,8,5/20/2016,on grass,Night Game,Oakland Athletics,3,6,3,6:38 p.m. Local,Oakland-Alameda County Coliseum,Friday,59,22, out to Rightfield,Unknown,11,3.216666667,regular season,0,1,Loss
93,36239,Milwaukee Brewers,0,3,2,5/20/2016,on grass,Night Game,New York Mets,0,7,3,7:11 p.m. Local,Citi Field,Friday,69,12, out to Leftfield,Sunny,5,2.516666667,regular season,1,0,Win
94,29396,Toronto Blue Jays,2,14,9,5/20/2016,on grass,Night Game,Minnesota Twins,0,10,3,7:11 p.m. Local,Target Field,Friday,73,6, from Right to Left,Cloudy,12,2.8,regular season,0,1,Loss
96,28724,Texas Rangers,0,5,2,5/20/2016,on grass,Night Game,Houston Astros,0,6,1,7:11 p.m. Local,Minute Maid Park,Friday,82,9, in from Leftfield,Sunny,3,2.55,regular season,0,1,Loss
97,30304,Tampa Bay Rays,2,8,7,5/20/2016,on grass,Night Game,Detroit Tigers,1,11,5,7:10 p.m. Local,Comerica Park,Friday,68,9, out to Rightfield,Unknown,12,3.433333333,regular season,0,1,Loss
98,20435,Seattle Mariners,0,10,8,5/20/2016,on grass,Night Game,Cincinnati Reds,0,8,3,7:55 p.m. Local,Great American Ball Park,Friday,59,7, from Right to Left,Rain,11,3.166666667,regular season,0,1,Loss
99,24020,Kansas City Royals,1,12,4,5/20/2016,on grass,Night Game,Chicago White Sox,1,6,1,7:11 p.m. Local,U.S. Cellular Field,Friday,64,13, from Left to Right,Unknown,5,2.983333333,regular season,0,1,Loss
100,37354,Cleveland Indians,1,8,4,5/20/2016,on grass,Night Game,Boston Red Sox,1,6,2,7:11 p.m. Local,Fenway Park,Friday,66,10, out to Leftfield,Cloudy,6,3.116666667,regular season,0,1,Loss
101,40987,Baltimore Orioles,1,14,9,5/20/2016,on grass,Night Game,Los Angeles Angels of Anaheim,1,7,4,7:08 p.m. Local,Angel Stadium of Anaheim,Friday,65,5, out to Leftfield,Cloudy,13,3.333333333,regular season,0,1,Loss
102,43683,Colorado Rockies,0,9,7,5/19/2016,on grass,Night Game,St. Louis Cardinals,0,12,13,6:16 p.m. Local,Busch Stadium III,Thursday,69,6, from Right to Left,Overcast,20,3.266666667,regular season,1,0,Win
103,41280,Baltimore Orioles,1,5,2,5/22/2016,on grass,Day Game,Los Angeles Angels of Anaheim,0,13,10,12:39 p.m. Local,Angel Stadium of Anaheim,Sunday,71,7, out to Centerfield,Cloudy,12,2.55,regular season,1,0,Win
104,26176,St. Louis Cardinals,0,6,1,5/26/2016,on grass,Night Game,Washington Nationals,1,7,2,7:05 p.m. Local,Nationals Park,Thursday,83,4, out to Leftfield,Cloudy,3,2.45,regular season,1,0,Win
106,30861,Arizona Diamondbacks,1,13,3,5/26/2016,on grass,Day Game,Pittsburgh Pirates,1,12,8,12:39 p.m. Local,PNC Park,Thursday,78,10, in from Rightfield,Cloudy,11,3.666666667,regular season,1,0,Win
107,38391,Toronto Blue Jays,0,6,3,5/26/2016,on grass,Day Game,New York Yankees,1,4,1,4:07 p.m. Local,Yankee Stadium III,Thursday,85,10, from Right to Left,Sunny,4,2.566666667,regular season,0,1,Loss
109,36162,Colorado Rockies,0,12,8,5/26/2016,on grass,Night Game,Boston Red Sox,1,6,2,7:12 p.m. Local,Fenway Park,Thursday,63,12, from Right to Left,Unknown,10,2.85,regular season,0,1,Loss
110,14885,Milwaukee Brewers,0,10,6,5/26/2016,on grass,Night Game,Atlanta Braves,0,8,2,7:10 p.m. Local,Turner Field,Thursday,85,6, out to Leftfield,Cloudy,8,3.083333333,regular season,0,1,Loss
111,38700,New York Mets,0,5,2,5/25/2016,on grass,Day Game,Washington Nationals,2,6,0,1:05 p.m. Local,Nationals Park,Wednesday,83,7, from Left to Right,Unknown,2,2.633333333,regular season,0,1,Loss
112,32480,Los Angeles Angels of Anaheim,2,14,9,5/25/2016,on grass,Day Game,Texas Rangers,0,18,15,1:08 p.m. Local,Globe Life Park in Arlington,Wednesday,83,15, from Right to Left,Unknown,24,3.566666667,regular season,1,0,Win
114,45565,Chicago Cubs,1,10,9,5/25/2016,on grass,Day Game,St. Louis Cardinals,1,13,8,12:47 p.m. Local,Busch Stadium III,Wednesday,74,9, from Right to Left,Cloudy,17,3.633333333,regular season,0,1,Loss
115,41363,San Diego Padres,1,9,3,5/25/2016,on grass,Day Game,San Francisco Giants,0,10,4,12:45 p.m. Local,AT&T Park,Wednesday,60,8, from Right to Left,Overcast,7,3.366666667,regular season,1,0,Win
116,36538,Houston Astros,2,14,8,5/29/2016,on grass,Day Game,Los Angeles Angels of Anaheim,1,12,6,12:37 p.m. Local,Angel Stadium of Anaheim,Sunday,69,5, out to Centerfield,Unknown,14,4.95,regular season,0,1,Loss
118,28213,New York Yankees,1,8,5,6/2/2016,on grass,Night Game,Detroit Tigers,0,11,4,7:40 p.m. Local,Comerica Park,Thursday,80,3, from Right to Left,Cloudy,9,2.933333333,regular season,0,1,Loss
119,28080,Cincinnati Reds,0,14,11,6/2/2016,on grass,Night Game,Colorado Rockies,1,5,4,6:40 p.m. Local,Coors Field,Thursday,81,5, out to Leftfield,Cloudy,15,2.733333333,regular season,0,1,Loss
120,11131,Kansas City Royals,3,12,4,6/2/2016,on grass,Night Game,Cleveland Indians,1,11,5,7:10 p.m. Local,Progressive Field,Thursday,73,4, in from Rightfield,Cloudy,9,2.9,regular season,1,0,Win
121,37422,Los Angeles Dodgers,1,3,2,6/2/2016,on grass,Day Game,Chicago Cubs,0,10,7,1:20 p.m. Local,Wrigley Field,Thursday,78,9, out to Rightfield,Sunny,9,2.416666667,regular season,1,0,Win
122,21534,Boston Red Sox,0,12,7,6/2/2016,on grass,Night Game,Baltimore Orioles,1,11,12,7:07 p.m. Local,Oriole Park at Camden Yards,Thursday,75,3, from Left to Right,Cloudy,19,2.95,regular season,1,0,Win
123,15983,San Francisco Giants,1,8,6,6/2/2016,on grass,Day Game,Atlanta Braves,1,4,0,12:10 p.m. Local,Turner Field,Thursday,81,3, out to Leftfield,Cloudy,6,2.816666667,regular season,0,1,Loss
124,39512,New York Yankees,2,7,0,6/1/2016,on turf,Night Game,Toronto Blue Jays,1,12,7,7:07 p.m. Local,Rogers Centre,Wednesday,62,14, from Right to Left,Sunny,7,2.95,regular season,1,0,Win
125,20557,Seattle Mariners,2,14,6,6/1/2016,on grass,Night Game,San Diego Padres,1,19,14,7:11 p.m. Local,Petco Park,Wednesday,67,7, from Left to Right,Unknown,20,3.333333333,regular season,1,0,Win
126,19052,Washington Nationals,0,12,7,6/1/2016,on grass,Night Game,Philadelphia Phillies,1,6,2,7:08 p.m. Local,Citizens Bank Park,Wednesday,78,8, out to Centerfield,Unknown,9,2.75,regular season,0,1,Loss
127,11345,Minnesota Twins,0,6,1,6/1/2016,on grass,Day Game,Oakland Athletics,0,11,5,12:37 p.m. Local,Oakland-Alameda County Coliseum,Wednesday,69,10, out to Leftfield,Sunny,6,2.55,regular season,1,0,Win
128,34160,Chicago White Sox,0,7,2,6/1/2016,on grass,Day Game,New York Mets,0,7,1,1:10 p.m. Local,Citi Field,Wednesday,79,13, in from Centerfield,Cloudy,3,4.683333333,regular season,0,1,Loss
129,45453,San Francisco Giants,0,6,4,6/4/2016,on grass,Night Game,St. Louis Cardinals,1,12,7,6:15 p.m. Local,Busch Stadium III,Saturday,78,4, out to Rightfield,Cloudy,11,2.65,regular season,1,0,Win
130,41448,Baltimore Orioles,0,11,6,6/9/2016,on turf,Night Game,Toronto Blue Jays,0,8,5,7:08 p.m. Local,Rogers Centre,Thursday,68,17, in from Centerfield,Unknown,11,3.2,regular season,0,1,Loss
131,30145,Houston Astros,0,7,3,6/9/2016,on grass,Day Game,Texas Rangers,1,8,5,1:07 p.m. Local,Globe Life Park in Arlington,Thursday,87,9, from Right to Left,Cloudy,8,2.85,regular season,1,0,Win
132,19901,Cleveland Indians,0,7,5,6/9/2016,on grass,Night Game,Seattle Mariners,1,13,3,7:10 p.m. Local,Safeco Field,Thursday,65,0, in unknown direction,Cloudy,8,3.65,regular season,0,1,Loss
133,34971,Los Angeles Angels of Anaheim,0,8,3,6/9/2016,on grass,Night Game,New York Yankees,1,11,6,7:10 p.m. Local,Yankee Stadium III,Thursday,69,16, out to Centerfield,Sunny,9,2.966666667,regular season,1,0,Win
134,18792,Miami Marlins,0,18,10,6/9/2016,on grass,Night Game,Minnesota Twins,2,7,3,7:10 p.m. Local,Target Field,Thursday,81,15, in from Rightfield,Cloudy,13,3.066666667,regular season,0,1,Loss
135,22980,New York Mets,1,13,5,6/9/2016,on grass,Night Game,Milwaukee Brewers,0,10,2,7:10 p.m. Local,Miller Park,Thursday,72,5, from Right to Left,Cloudy,7,3.066666667,regular season,0,1,Loss
136,24678,Pittsburgh Pirates,0,7,5,6/9/2016,on grass,Day Game,Colorado Rockies,3,14,11,3:10 p.m. Local,Coors Field,Thursday,89,3, out to Rightfield,Sunny,16,2.883333333,regular season,1,0,Win
137,24516,St. Louis Cardinals,0,8,3,6/9/2016,on grass,Night Game,Cincinnati Reds,0,4,2,7:10 p.m. Local,Great American Ball Park,Thursday,79,1, in unknown direction,Sunny,5,2.933333333,regular season,0,1,Loss
138,20014,Washington Nationals,0,5,1,6/9/2016,on grass,Night Game,Chicago White Sox,0,5,3,7:11 p.m. Local,U.S. Cellular Field,Thursday,71,6, from Left to Right,Cloudy,4,2.35,regular season,1,0,Win
139,37696,Houston Astros,1,7,3,6/8/2016,on grass,Night Game,Texas Rangers,1,10,1,7:07 p.m. Local,Globe Life Park in Arlington,Wednesday,89,11, from Right to Left,Cloudy,4,2.816666667,regular season,0,1,Loss
140,41635,Boston Red Sox,0,5,1,6/8/2016,on grass,Night Game,San Francisco Giants,1,3,2,7:15 p.m. Local,AT&T Park,Wednesday,60,15, out to Centerfield,Unknown,3,2.75,regular season,1,0,Win
141,15337,Cleveland Indians,0,3,0,6/8/2016,on grass,Night Game,Seattle Mariners,0,7,5,7:10 p.m. Local,Safeco Field,Wednesday,67,3, in from Centerfield,Cloudy,5,2.683333333,regular season,1,0,Win
